Domain Code,AreaName,ItemName,Year,Value,Flag,FlagD
FS,Bermuda,Per capita food supply variability (kcal/capita/day),2009,83,,Official data
FS,Bermuda,Per capita food supply variability (kcal/capita/day),2010,74,,Official data
FS,Bermuda,Per capita food supply variability (kcal/capita/day),2011,53,,Official data
FS,Bhutan,Per capita food supply variability (kcal/capita/day),2000,,NA,Not applicable
FS,Bhutan,Per capita food supply variability (kcal/capita/day),2001,,NA,Not applicable
FS,Bhutan,Per capita food supply variability (kcal/capita/day),2002,,NA,Not applicable
FS,Bhutan,Per capita food supply variability (kcal/capita/day),2003,,NA,Not applicable
FS,Bhutan,Per capita food supply variability (kcal/capita/day),2004,,NA,Not applicable
FS,Bhutan,Per capita food supply variability (kcal/capita/day),2005,,NA,Not applicable
FS,Bhutan,Per capita food supply variability (kcal/capita/day),2006,,NA,Not applicable
FS,Bhutan,Per capita food supply variability (kcal/capita/day),2007,,NA,Not applicable
FS,Bhutan,Per capita food supply variability (kcal/capita/day),2008,,NA,Not applicable
FS,Bhutan,Per capita food supply variability (kcal/capita/day),2009,,NA,Not applicable
FS,Bhutan,Per capita food supply variability (kcal/capita/day),2010,,NA,Not applicable
FS,Bhutan,Per capita food supply variability (kcal/capita/day),2011,,NA,Not applicable
FS,Bolivia (Plurinational State of),Per capita food supply variability (kcal/capita/day),2000,63,,Official data
FS,Bolivia (Plurinational State of),Per capita food supply variability (kcal/capita/day),2001,47,,Official data
FS,Bolivia (Plurinational State of),Per capita food supply variability (kcal/capita/day),2002,47,,Official data
FS,Bolivia (Plurinational State of),Per capita food supply variability (kcal/capita/day),2003,47,,Official data
FS,Bolivia (Plurinational State of),Per capita food supply variability (kcal/capita/day),2004,14,,Official data
FS,Bolivia (Plurinational State of),Per capita food supply variability (kcal/capita/day),2005,36,,Official data
FS,Bolivia (Plurinational State of),Per capita food supply variability (kcal/capita/day),2006,37,,Official data
FS,Bolivia (Plurinational State of),Per capita food supply variability (kcal/capita/day),2007,36,,Official data
FS,Bolivia (Plurinational State of),Per capita food supply variability (kcal/capita/day),2008,33,,Official data
FS,Bolivia (Plurinational State of),Per capita food supply variability (kcal/capita/day),2009,29,,Official data
FS,Bolivia (Plurinational State of),Per capita food supply variability (kcal/capita/day),2010,23,,Official data
FS,Bolivia (Plurinational State of),Per capita food supply variability (kcal/capita/day),2011,25,,Official data
FS,Botswana,Per capita food supply variability (kcal/capita/day),2000,50,,Official data
FS,Botswana,Per capita food supply variability (kcal/capita/day),2001,54,,Official data
FS,Botswana,Per capita food supply variability (kcal/capita/day),2002,39,,Official data
FS,Botswana,Per capita food supply variability (kcal/capita/day),2003,31,,Official data
FS,Botswana,Per capita food supply variability (kcal/capita/day),2004,27,,Official data
FS,Botswana,Per capita food supply variability (kcal/capita/day),2005,41,,Official data
FS,Botswana,Per capita food supply variability (kcal/capita/day),2006,37,,Official data
FS,Botswana,Per capita food supply variability (kcal/capita/day),2007,38,,Official data
FS,Botswana,Per capita food supply variability (kcal/capita/day),2008,34,,Official data
FS,Botswana,Per capita food supply variability (kcal/capita/day),2009,28,,Official data
FS,Botswana,Per capita food supply variability (kcal/capita/day),2010,23,,Official data
FS,Botswana,Per capita food supply variability (kcal/capita/day),2011,9,,Official data
FS,Brazil,Per capita food supply variability (kcal/capita/day),2000,20,,Official data
FS,Brazil,Per capita food supply variability (kcal/capita/day),2001,24,,Official data
FS,Brazil,Per capita food supply variability (kcal/capita/day),2002,24,,Official data
FS,Brazil,Per capita food supply variability (kcal/capita/day),2003,15,,Official data
FS,Brazil,Per capita food supply variability (kcal/capita/day),2004,50,,Official data
FS,Brazil,Per capita food supply variability (kcal/capita/day),2005,59,,Official data
FS,Brazil,Per capita food supply variability (kcal/capita/day),2006,56,,Official data
FS,Brazil,Per capita food supply variability (kcal/capita/day),2007,44,,Official data
FS,Brazil,Per capita food supply variability (kcal/capita/day),2008,29,,Official data
FS,Brazil,Per capita food supply variability (kcal/capita/day),2009,23,,Official data
FS,Brazil,Per capita food supply variability (kcal/capita/day),2010,18,,Official data
FS,Brazil,Per capita food supply variability (kcal/capita/day),2011,21,,Official data
FS,Aruba,Per capita food supply variability (kcal/capita/day),2000,,NA,Not applicable
FS,Aruba,Per capita food supply variability (kcal/capita/day),2001,,NA,Not applicable
FS,Aruba,Per capita food supply variability (kcal/capita/day),2002,,NA,Not applicable
FS,Aruba,Per capita food supply variability (kcal/capita/day),2003,,NA,Not applicable
FS,Aruba,Per capita food supply variability (kcal/capita/day),2004,,NA,Not applicable
FS,Aruba,Per capita food supply variability (kcal/capita/day),2005,,NA,Not applicable
FS,Aruba,Per capita food supply variability (kcal/capita/day),2006,,NA,Not applicable
FS,Aruba,Per capita food supply variability (kcal/capita/day),2007,,NA,Not applicable
