Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.6471694098821,22.2199449962763,20.74860169572,21.2421826547819,21.7292645528489,21.9855959512358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",10.8,10.9,11,11.8,12.1,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",20.9,21,21.1,20.7,20.7,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",57,56,56.2,55.7,56.8,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",23.9,26.6,27.6,24.1,22.1,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",69.4,72.6,72.2,70.9,66.8,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",39.2,39.5,40.8,40.4,41.9,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",16.3,17.3,16.9,17.9,17.3,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",15.8,16.1,16.2,16.3,16.1,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",30.7,34.2,39.5,38.3,36.7,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",14.1,15,16.1,18.1,18,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",12.8963850903316,13.5567699865234,14.4687981825414,15.3677630116104,15.199837135072,15.350699016815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",14.2,15,16.3,16.7,16.6,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",15,14.9,14.7,15.9,16.8,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",19.8,19.4,18.4,19.4,20.2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",13.4,13.4,13,13.4,13.6,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",34.7,36.8,39.5,39.3,39.3,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",13,13.1,13.1,13.1,12.7,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",10.1,10,9.8,10.1,10.4,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",18.3,15.5,19.8,20.7,16.2,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",23.4,24.1,24.7,27.1,28.8,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",45.5443376912136,44.8793187818062,45.0721547815708,44.9520539943137,45.645616772462,45.9935332845587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",49.2270155364331,49.1407581562114,50.2589111260696,52.0305857937444,53.0516456503224,54.4410928161511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",42.2884885147562,41.6503083871927,42.1086417074284,41.834959942432,42.7615682982521,43.1425808696724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",21.536068677222,21.1590664205948,20.6142604507039,21.4612287594657,22.2819402181845,22.9656007713336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.3137951983557,17.0731749865397,16.6746825890637,17.3119277389007,17.8702517295936,18.3690231913608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",13.9,16.1,15.5,15.6,13.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",86.1,84.8,84.3,90.4,94.5,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",12.7863192246735,12.7029507337397,12.5611890883876,13.146439503424,13.5070834711512,13.9380914721052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",34.2,35.2,36.9,35.5,35.6,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",9.5,9.6,9.6,9.6,9.6,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",8,7.7,6.9,8,8.5,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",28.7,30.3,31.4,30.7,30.5,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
